what,kind,bundleId,bundleVersion,description,time
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1310762199500
java.specification.version,sysinfo,,,"1.6",1310762199500
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1310762199501
java.version,sysinfo,,,"1.6.0_20",1310762199501
java.vm.info,sysinfo,,,"mixed mode",1310762199501
java.vm.name,sysinfo,,,"OpenJDK 64-Bit Server VM",1310762199501
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1310762199501
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1310762199501
java.vm.specification.version,sysinfo,,,"1.0",1310762199501
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1310762199501
java.vm.version,sysinfo,,,"19.0-b09",1310762199501
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1310762204865
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1310762205455
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1310762210236
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1310762219761
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1310762223827
started,bundle,org.eclipse.debug.core,3.7.0.v20110518,"org.eclipse.debug.core",1310762233948
started,bundle,org.eclipse.jdt.launching,3.6.0.v20110509,"org.eclipse.jdt.launching",1310762233998
started,bundle,com.android.ide.eclipse.ddms,12.0.0.v201106281929-138431,"com.android.ide.eclipse.ddms",1310762234015
error,log,,,"loadAndParseRClass: failed to find manifest package for project WordClockRemote",1310762234167
started,bundle,org.eclipse.wst.sse.core,1.1.600.v201105162116,"org.eclipse.wst.sse.core",1310762234253
started,bundle,com.android.ide.eclipse.adt,12.0.0.v201106281929-138431,"com.android.ide.eclipse.adt",1310762234263
started,bundle,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui",1310762234569
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.0.201106081058,"org.eclipse.cdt.dsf.gdb.ui",1310762234592
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring",1310762234698
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1310762235011
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1310762235019
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1310762235067
started,bundle,org.eclipse.wst.xml.core,1.1.600.v201104251227,"org.eclipse.wst.xml.core",1310762239336
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1310762243351
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1310762243471
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1310762243705
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1310762243761
started,bundle,org.eclipse.core.variables,3.2.500.v20110511,"org.eclipse.core.variables",1310762244260
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1310762245274
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1310762253137
error,log,,,"Invalid preference page path: XML Syntax",1310762253235
started,bundle,org.eclipse.compare,3.5.200.I20110525-0800,"org.eclipse.compare",1310762253371
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1310762256533
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1310762264495
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1310762264563
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1310762267652
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.window.preferences",1310762284489
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1310762284559
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1310762285607
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1310762289542
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1310762291135
stopped,bundle,org.eclipse.linuxtools.valgrind.massif,0.7.0.201106060936,"org.eclipse.linuxtools.valgrind.massif",1310762292710
stopped,bundle,org.eclipse.birt.chart.device.svg,3.7.0.v20110421,"org.eclipse.birt.chart.device.svg",1310762292724
stopped,bundle,org.eclipse.birt.chart.device.extension,3.7.0.v20110414,"org.eclipse.birt.chart.device.extension",1310762292738
stopped,bundle,org.eclipse.birt.chart.device.swt,3.7.0.v20110303,"org.eclipse.birt.chart.device.swt",1310762292747
stopped,bundle,org.eclipse.birt.chart.engine.extension,3.7.0.v20110421,"org.eclipse.birt.chart.engine.extension",1310762292861
stopped,bundle,org.eclipse.linuxtools.gcov,4.1.1.201106060936,"org.eclipse.linuxtools.gcov",1310762292944
stopped,bundle,org.eclipse.linuxtools.gprof,4.0.0.201106060936,"org.eclipse.linuxtools.gprof",1310762293022
stopped,bundle,org.eclipse.linuxtools.dataviewers.charts,4.1.0.201106060936,"org.eclipse.linuxtools.dataviewers.charts",1310762293047
